Reading,Col_Index,Fuel_Qty,Roll_Input,Wing_Side,Stick,Pitch
2.2,Col_0,1807,14,Right,Stick 1,E (-3.00)
2.4,Col_0,1865,14,Right,Stick 1,E (-3.00)
2.6,Col_0,1923,14,Right,Stick 1,E (-3.00)
2.8,Col_0,1981,14,Right,Stick 1,E (-3.00)
3,Col_0,2039,14,Right,Stick 1,E (-3.00)
3.2,Col_0,2099,14,Right,Stick 1,E (-3.00)
3.4,Col_0,2158,14,Right,Stick 1,E (-3.00)
3.6,Col_0,2218,14,Right,Stick 1,E (-3.00)
3.8,Col_0,2278,14,Right,Stick 1,E (-3.00)
4,Col_0,2339,14,Right,Stick 1,E (-3.00)
4.2,Col_0,2399,14,Right,Stick 1,E (-3.00)
4.4,Col_0,2461,14,Right,Stick 1,E (-3.00)
4.6,Col_0,2522,14,Right,Stick 1,E (-3.00)
4.8,Col_0,2584,14,Right,Stick 1,E (-3.00)
5,Col_0,2646,14,Right,Stick 1,E (-3.00)
5.2,Col_0,2709,14,Right,Stick 1,E (-3.00)
5.4,Col_0,2772,14,Right,Stick 1,E (-3.00)
5.6,Col_0,2835,14,Right,Stick 1,E (-3.00)
5.8,Col_0,2899,14,Right,Stick 1,E (-3.00)
6,Col_0,2963,14,Right,Stick 1,E (-3.00)
6.2,Col_0,3028,14,Right,Stick 1,E (-3.00)
6.4,Col_0,3092,14,Right,Stick 1,E (-3.00)
6.6,Col_0,3158,14,Right,Stick 1,E (-3.00)
6.8,Col_0,3223,14,Right,Stick 1,E (-3.00)
7,Col_0,3289,14,Right,Stick 1,E (-3.00)
7.2,Col_0,3355,14,Right,Stick 1,E (-3.00)
7.4,Col_0,3421,14,Right,Stick 1,E (-3.00)
7.6,Col_0,3488,14,Right,Stick 1,E (-3.00)
7.8,Col_0,3556,14,Right,Stick 1,E (-3.00)
8,Col_0,3623,14,Right,Stick 1,E (-3.00)
8.2,Col_0,3692,14,Right,Stick 1,E (-3.00)
8.4,Col_0,3760,14,Right,Stick 1,E (-3.00)
8.6,Col_0,3829,14,Right,Stick 1,E (-3.00)
8.8,Col_0,3898,14,Right,Stick 1,E (-3.00)
9,Col_0,3967,14,Right,Stick 1,E (-3.00)
9.2,Col_0,4037,14,Right,Stick 1,E (-3.00)
9.4,Col_0,4107,14,Right,Stick 1,E (-3.00)
9.6,Col_0,4178,14,Right,Stick 1,E (-3.00)
9.8,Col_0,4249,14,Right,Stick 1,E (-3.00)
10,Col_0,4320,14,Right,Stick 1,E (-3.00)
10.2,Col_0,4392,14,Right,Stick 1,E (-3.00)
10.4,Col_0,4464,14,Right,Stick 1,E (-3.00)
10.6,Col_0,4537,14,Right,Stick 1,E (-3.00)
10.8,Col_0,4609,14,Right,Stick 1,E (-3.00)
11,Col_0,4683,14,Right,Stick 1,E (-3.00)
11.2,Col_0,4756,14,Right,Stick 1,E (-3.00)
11.4,Col_0,4830,14,Right,Stick 1,E (-3.00)
11.6,Col_0,4904,14,Right,Stick 1,E (-3.00)
11.8,Col_0,4979,14,Right,Stick 1,E (-3.00)
12,Col_0,5054,14,Right,Stick 1,E (-3.00)
12.2,Col_0,5129,14,Right,Stick 1,E (-3.00)
12.4,Col_0,5204,14,Right,Stick 1,E (-3.00)
12.6,Col_0,5280,14,Right,Stick 1,E (-3.00)
12.8,Col_0,5356,14,Right,Stick 1,E (-3.00)
13,Col_0,5432,14,Right,Stick 1,E (-3.00)
13.2,Col_0,5509,14,Right,Stick 1,E (-3.00)
13.4,Col_0,5585,14,Right,Stick 1,E (-3.00)
13.6,Col_0,5662,14,Right,Stick 1,E (-3.00)
13.8,Col_0,5739,14,Right,Stick 1,E (-3.00)
14,Col_0,5816,14,Right,Stick 1,E (-3.00)
14.2,Col_0,5893,14,Right,Stick 1,E (-3.00)
14.4,Col_0,5971,14,Right,Stick 1,E (-3.00)
14.6,Col_0,6048,14,Right,Stick 1,E (-3.00)
14.8,Col_0,6126,14,Right,Stick 1,E (-3.00)
15,Col_0,6204,14,Right,Stick 1,E (-3.00)
15.2,Col_0,6282,14,Right,Stick 1,E (-3.00)
15.4,Col_0,6360,14,Right,Stick 1,E (-3.00)
15.6,Col_0,6439,14,Right,Stick 1,E (-3.00)
15.8,Col_0,6517,14,Right,Stick 1,E (-3.00)
16,Col_0,6596,14,Right,Stick 1,E (-3.00)
16.2,Col_0,6675,14,Right,Stick 1,E (-3.00)
16.4,Col_0,6754,14,Right,Stick 1,E (-3.00)
16.6,Col_0,6833,14,Right,Stick 1,E (-3.00)
16.8,Col_0,6912,14,Right,Stick 1,E (-3.00)
17,Col_0,6992,14,Right,Stick 1,E (-3.00)
17.2,Col_0,7071,14,Right,Stick 1,E (-3.00)
17.4,Col_0,7151,14,Right,Stick 1,E (-3.00)
17.6,Col_0,7231,14,Right,Stick 1,E (-3.00)
17.8,Col_0,7311,14,Right,Stick 1,E (-3.00)
18,Col_0,7391,14,Right,Stick 1,E (-3.00)
18.2,Col_0,7471,14,Right,Stick 1,E (-3.00)
18.4,Col_0,7552,14,Right,Stick 1,E (-3.00)
18.6,Col_0,7633,14,Right,Stick 1,E (-3.00)
18.8,Col_0,7713,14,Right,Stick 1,E (-3.00)
19,Col_0,7794,14,Right,Stick 1,E (-3.00)
19.2,Col_0,7876,14,Right,Stick 1,E (-3.00)
19.4,Col_0,7957,14,Right,Stick 1,E (-3.00)
19.6,Col_0,8038,14,Right,Stick 1,E (-3.00)
19.8,Col_0,8120,14,Right,Stick 1,E (-3.00)
20,Col_0,8202,14,Right,Stick 1,E (-3.00)
20.2,Col_0,8283,14,Right,Stick 1,E (-3.00)
20.4,Col_0,8365,14,Right,Stick 1,E (-3.00)
20.6,Col_0,8448,14,Right,Stick 1,E (-3.00)
20.8,Col_0,8530,14,Right,Stick 1,E (-3.00)
21,Col_0,8612,14,Right,Stick 1,E (-3.00)
21.2,Col_0,8695,14,Right,Stick 1,E (-3.00)
21.4,Col_0,8778,14,Right,Stick 1,E (-3.00)
21.6,Col_0,8860,14,Right,Stick 1,E (-3.00)
2.2,Col_1,1572,13,Right,Stick 1,E (-3.00)
2.4,Col_1,1628,13,Right,Stick 1,E (-3.00)
2.6,Col_1,1684,13,Right,Stick 1,E (-3.00)
2.8,Col_1,1741,13,Right,Stick 1,E (-3.00)
3,Col_1,1798,13,Right,Stick 1,E (-3.00)
3.2,Col_1,1856,13,Right,Stick 1,E (-3.00)
3.4,Col_1,1914,13,Right,Stick 1,E (-3.00)
3.6,Col_1,1972,13,Right,Stick 1,E (-3.00)
3.8,Col_1,2031,13,Right,Stick 1,E (-3.00)
4,Col_1,2090,13,Right,Stick 1,E (-3.00)
4.2,Col_1,2149,13,Right,Stick 1,E (-3.00)
4.4,Col_1,2209,13,Right,Stick 1,E (-3.00)
